question_id,answer_id,question_text,question_score,pmid,pmtitle
76096,76104,What is the effect of non-vaccinated people on vaccinated people?,104,26978210,Association Between Vaccine Refusal and Vaccine-Preventable Diseases in the United States: A Review of Measles and Pertussis.
76096,76104,What is the effect of non-vaccinated people on vaccinated people?,104,23043518,Hand hygiene to reduce community transmission of influenza and acute respiratory tract infection: a systematic review.
76096,76104,What is the effect of non-vaccinated people on vaccinated people?,104,22348626,Condom use: still a sexual health staple.
44868,44869,Can HIV be transmitted via mosquitos?,96,10554479,Can we get AIDS from mosquito bites?
74887,74896,"Do beneficial viruses exist? If so, what examples are there?",95,22325031,GB virus C: the good boy virus?
74887,74896,"Do beneficial viruses exist? If so, what examples are there?",95,28439515,Endogenous Retroviruses: With Us and against Us.
324,325,Why did the process of sleep evolve in many animals? What is its evolutionary advantage?,88,18538867,Conservation of sleep: insights from non-mammalian model systems.
324,88000,Why did the process of sleep evolve in many animals? What is its evolutionary advantage?,88,28698776,The Sleeping Brain.
324,88000,Why did the process of sleep evolve in many animals? What is its evolutionary advantage?,88,18403222,Phylogenetics and the correlates of mammalian sleep: a reappraisal.
324,88000,Why did the process of sleep evolve in many animals? What is its evolutionary advantage?,88,26400745,Decreasing sleep requirement with increasing numbers of neurons as a driver for bigger brains and bodies in mammalian evolution.
324,88000,Why did the process of sleep evolve in many animals? What is its evolutionary advantage?,88,18789355,"Avian sleep homeostasis: convergent evolution of complex brains, cognition and sleep functions in mammals and birds."
324,88000,Why did the process of sleep evolve in many animals? What is its evolutionary advantage?,88,27780049,Unraveling the Evolutionary Determinants of Sleep.
324,88000,Why did the process of sleep evolve in many animals? What is its evolutionary advantage?,88,24136970,Sleep drives metabolite clearance from the adult brain.
52289,52314,Does the string &quot;...CATCAT...&quot; appear in the DNA of Felis catus?,88,17975172,Initial sequence and comparative analysis of the cat genome.
64822,64824,Are humans the only species who drink milk as adults?,86,17159977,Convergent adaptation of human lactase persistence in Africa and Europe.
55286,55287,Is there an RGB equivalent for smells?,81,11423007,The human olfactory receptor repertoire.
60718,60720,Why is the heart not in the middle of the body?,77,23063530,Evolution and development of the building plan of the vertebrate heart.
60718,60720,Why is the heart not in the middle of the body?,77,13584630,
401,402,Why do Humans not produce Vitamin C like other mammals?,72,18358815,Erythrocyte Glut1 triggers dehydroascorbic acid uptake in mammals unable to synthesize vitamin C.
401,402,Why do Humans not produce Vitamin C like other mammals?,72,18764764,Restoration of vitamin C synthesis in transgenic Gulo-/- mice by helper-dependent adenovirus-based expression of gulonolactone oxidase.
57361,57368,Do animals exhibit handedness (paw-ness?) preference?,72,24376433,Brain and behavioral lateralization in invertebrates.
60654,60656,Why shouldn&#39;t dogs eat chocolate?,72,15884841,Evaluation of cocoa- and coffee-derived methylxanthines as toxicants for the control of pest coyotes.
17077,17091,Why does evolution not make our life longer?,62,8793422,The relationship between arm-span measurement and height with special reference to gender and ethnicity.
23720,23723,Can a woman give birth to twins with different fathers?,62,1488855,How frequent is heteropaternal superfecundation?
57594,57601,Are there organisms with fewer than 1000 neurons?,62,27328842,Connectome studies on Drosophila: a short perspective on a tiny brain.
34683,34717,Why do smaller mammals move intermittently?,59,21824077,Immunological and toxinological responses to jellyfish stings.
51236,51239,Why do the fastest runners tend to be black?,57,15328533,Regulation of muscle fiber type and running endurance by PPARdelta.
51236,51250,Why do the fastest runners tend to be black?,57,29135646,Foot Structure and Function in Habitually Barefoot and Shod Adolescents in Kenya.
90,106,Life without DNA?,55,17897696,The origin of the RNA world: co-evolution of genes and metabolism.
90,30043,Life without DNA?,55,24388759,Highly efficient self-replicating RNA enzymes.
57971,57974,What is the benefit of fever during infections?,55,25976513,Fever and the thermal regulation of immunity: the immune system feels the heat.
57971,58045,What is the benefit of fever during infections?,55,27411542,The pathophysiological basis and consequences of fever.
9419,9420,"Why are there no organisms with metal body parts, like weapons, bones, and armour? (Or are there?)",51,17950376,"Molluscan shell proteins: primary structure, origin, and evolution."
9419,30253,"Why are there no organisms with metal body parts, like weapons, bones, and armour? (Or are there?)",51,12886017,"Zinc and mechanical prowess in the jaws of Nereis, a marine worm."
81093,81094,Do large animals experience a meaningful delay when moving their most distant appendages?,51,30158304,Scaling of sensorimotor delays in terrestrial mammals.
9438,9446,Why isn&#39;t a virus &quot;alive&quot;?,50,20198436,Defining life: the virus viewpoint.
9438,9455,Why isn&#39;t a virus &quot;alive&quot;?,50,30538677,
9438,9455,Why isn&#39;t a virus &quot;alive&quot;?,50,20007369,Giant Marseillevirus highlights the role of amoebae as a melting pot in emergence of chimeric microorganisms.
9438,9455,Why isn&#39;t a virus &quot;alive&quot;?,50,16787527,Viruses take center stage in cellular evolution.
9438,9455,Why isn&#39;t a virus &quot;alive&quot;?,50,21248859,Two new subfamilies of DNA mismatch repair proteins (MutS) specifically abundant in the marine environment.
9438,9455,Why isn&#39;t a virus &quot;alive&quot;?,50,18311164,Redefining viruses: lessons from Mimivirus.
9438,9455,Why isn&#39;t a virus &quot;alive&quot;?,50,18690211,The virophage as a unique parasite of the giant mimivirus.
59688,59690,Why does cutting onion cause tears?​,49,18583530,Silencing onion lachrymatory factor synthase causes a significant change in the sulfur secondary metabolite profile.
59688,59691,Why does cutting onion cause tears?​,49,16650463,Hydrogen sulfide (H2S) and sour gas effects on the eye. A historical perspective.
79381,79383,What is the longest-lasting protein in a human body?,49,23258296,"Protein homeostasis: live long, won't prosper."
79381,79431,What is the longest-lasting protein in a human body?,49,20971813,Rec8-containing cohesin maintains bivalents without turnover during the growing phase of mouse oocytes.
79381,79431,What is the longest-lasting protein in a human body?,49,26898469,Chromosome Cohesion Established by Rec8-Cohesin in Fetal Oocytes Is Maintained without Detectable Turnover in Oocytes Arrested for Months in Mice.
79381,79431,What is the longest-lasting protein in a human body?,49,28737671,Age-Related Loss of Cohesion: Causes and Effects.
53577,53578,Are there any animals that are both poisonous and venomous?,48,17284596,Dietary sequestration of defensive steroids in nuchal glands of the Asian snake Rhabdophis tigrinus.
546,548,What&#39;s the maximum and minimum temperature a human can survive?,47,7362290,Differences in healing of skin wounds caused by burn and freeze injuries.
35654,35656,What is it that creates that wonderful smell after a fresh rain?,46,5866039,"Geosmin, an earthly-smelling substance isolated from actinomycetes."
35654,35656,What is it that creates that wonderful smell after a fresh rain?,46,24289950,"Effect of oxidant exposure on the release of intracellular microcystin, MIB, and geosmin from three cyanobacteria species."
57309,57314,What is the function of epidermal ridges on human fingers (that produce fingerprints)?,46,19907707,Effect of fingerprints orientation on skin vibrations during tactile exploration of textured surfaces.
249,252,How does the sensitive plant detect vibrations?,45,16843034,Plant neurobiology: an integrated view of plant signaling.
90821,90822,Are all emerging viral diseases of the past 100 years zoonoses?,45,27208633,"Zika virus, vectors, reservoirs, amplifying hosts, and their potential to spread worldwide: what we know and what we should investigate urgently."
594,615,Why are amino acids in biology homochiral?,44,4669121,
594,615,Why are amino acids in biology homochiral?,44,722806,The asymmetry of life.
594,615,Why are amino acids in biology homochiral?,44,7401179,Beta-Structures of polypeptides with L- and D-residues. Part III. Experimental evidences for enrichment in enantiomer.
594,615,Why are amino acids in biology homochiral?,44,8749373,How nature deals with stereoisomers.
714,718,Is there any advantage to one blood type over another?,44,4561964,
714,718,Is there any advantage to one blood type over another?,44,15311477,"Landing preference of Aedes albopictus (Diptera: Culicidae) on human skin among ABO blood groups, secretors or nonsecretors, and ABH antigens."
714,718,Is there any advantage to one blood type over another?,44,6971187,Relationship between ABO blood groups and malaria.
714,747,Is there any advantage to one blood type over another?,44,17002642,ABO blood group determines plasma von Willebrand factor levels: a biologic function after all?
90095,90136,How does a Coronavirus &quot;test kit&quot; work?,44,19604094,Rapid and cost-effective SNP detection method: application of SmartAmp2 to pharmacogenomics research.
25880,25889,Can brain cells move?,42,11998681,Glial cell migration directed by axon guidance cues.
25880,25889,Can brain cells move?,42,9883725,Mutations in filamin 1 prevent migration of cerebral cortical neurons in human periventricular heterotopia.
89585,89586,How do scientists kill the bacteria they themselves made resistant?,42,7103486,Decontamination of laboratory microbiological waste by steam sterilization.
89585,89600,How do scientists kill the bacteria they themselves made resistant?,42,13796582,
89585,89600,How do scientists kill the bacteria they themselves made resistant?,42,27150578,Evolved resistance to colistin and its loss due to genetic reversion in Pseudomonas aeruginosa.
89585,89600,How do scientists kill the bacteria they themselves made resistant?,42,19560847,Environmental pollution by antibiotics and by antibiotic resistance determinants.
36620,36632,Why would a plant evolve to produce an addictive chemical?,41,23471406,Caffeine in floral nectar enhances a pollinator's memory of reward.
344,1549,Why do we age? or Do we have a theory of senescence?,40,1383768,Free radical theory of aging.
344,1549,Why do we age? or Do we have a theory of senescence?,40,17482404,Telomerase and the aging process.
344,2764,Why do we age? or Do we have a theory of senescence?,40,22329645,Is cellular senescence an example of antagonistic pleiotropy?
344,2764,Why do we age? or Do we have a theory of senescence?,40,19234764,"Cellular senescence, ageing and disease."
4962,4963,"What is the difference between orthologs, paralogs and homologs?",40,10782117,Homology a personal view on some of the problems.
4962,4964,"What is the difference between orthologs, paralogs and homologs?",40,11532207,
2320,2321,How does laughing gas (N₂O) work?,39,12034378,Descending control of pain.
2785,2795,Why do ants live so long?,39,18674586,Endocrine function in naturally long-living small mammals.
2785,2795,Why do ants live so long?,39,12079372,The regulatory anatomy of honeybee lifespan.
44590,44592,Do homing pigeons fly straight home or follow certain &quot;highways&quot;?,39,17452634,Pigeons combine compass and landmark guidance in familiar route navigation.
44590,44592,Do homing pigeons fly straight home or follow certain &quot;highways&quot;?,39,15572457,Familiar route loyalty implies visual pilotage in the homing pigeon.
44590,44592,Do homing pigeons fly straight home or follow certain &quot;highways&quot;?,39,15875565,Homing pigeons develop local route stereotypy.
44590,44624,Do homing pigeons fly straight home or follow certain &quot;highways&quot;?,39,1502184,Magnetite biomineralization in the human brain.
60706,60707,How does a baby deer stand the day it&#39;s born?,39,18952015,Bipedalism and parturition: an evolutionary imperative for cesarean delivery?
67227,87906,Are there biological reasons why life expectancy is lower for men in most countries of the world?,39,19527179,Iron and menopause: does increased iron affect the health of postmenopausal women?
1509,1524,How does a cell sense its size?,38,5875187,
1509,1524,How does a cell sense its size?,38,19619485,Cell size control: governed by a spatial gradient.
21507,21802,Why don&#39;t we develop immunity against common cold?,38,25210145,Complement modulation of T cell immune responses during homeostasis and disease.
21507,21802,Why don&#39;t we develop immunity against common cold?,38,24362689,The adaptive immune response to respiratory syncytial virus.
21507,21802,Why don&#39;t we develop immunity against common cold?,38,25249281,Refining the balance of attenuation and immunogenicity of respiratory syncytial virus by targeted codon deoptimization of virulence genes.
34761,34784,What do ants do with human finger nails?,38,11409051,The origin of the attine ant-fungus mutualism.
57011,57014,Why do some vegetables taste bitter?,38,17139450,Glucosinolate hydrolysis in Lepidium sativum--identification of the thiocyanate-forming protein.
57011,57014,Why do some vegetables taste bitter?,38,20388854,"Sulforaphane, a dietary component of broccoli/broccoli sprouts, inhibits breast cancer stem cells."
57011,57014,Why do some vegetables taste bitter?,38,16010347,Cucurbitacins and cucurbitane glycosides: structures and biological activities.
57011,57014,Why do some vegetables taste bitter?,38,19260165,Vegetable bitterness is related to calcium content.
57011,57014,Why do some vegetables taste bitter?,38,16368118,"Bitter taste markers explain variability in vegetable sweetness, bitterness, and intake."
57011,57014,Why do some vegetables taste bitter?,38,10656470,Taste and food preferences as predictors of dietary practices in young women.
57011,57046,Why do some vegetables taste bitter?,38,11101467,"Bitter taste, phytonutrients, and the consumer: a review."
57011,57046,Why do some vegetables taste bitter?,38,26865617,Amiloride-Insensitive Salt Taste Is Mediated by Two Populations of Type III Taste Cells with Distinct Transduction Mechanisms.
57555,57556,Does it make sense to classify all humans in a single species?,38,12837695,A long-range Shh enhancer regulates expression in the developing limb and fin and is associated with preaxial polydactyly.
57555,57556,Does it make sense to classify all humans in a single species?,38,14600054,Health and behavior risks of adolescents with mixed-race identity.
84525,84541,Can a person survive on blood in place of water?,38,5657200,
86221,86222,Is a butterfly one or two animals?,38,19717430,Caterpillars evolved from onychophorans by hybridogenesis.
89943,89952,"Virus cannot survive on surface after certain time period, but why and how?",38,16254359,Predicted inactivation of viruses of relevance to biodefense by solar radiation.
89943,89953,"Virus cannot survive on surface after certain time period, but why and how?",38,25843687,Survival of Enveloped and Non-Enveloped Viruses on Inanimate Surfaces.
27898,27901,Can humans perceive sounds above 20 kHz?,37,7559177,What middle ear parameters tell about impedance matching and high frequency hearing.
84089,84094,Why are prions in animal diets not destroyed by the digestive system?,37,6035483,
84089,84094,Why are prions in animal diets not destroyed by the digestive system?,37,6414721,A protease-resistant protein is a structural component of the scrapie prion.
90205,90206,What is this unusual structure inside this banana?,37,30786385,
2075,2083,Does red light preserve your night vision?,36,12808468,Melanopsin and rod-cone photoreceptive systems account for all major accessory visual functions in mice.
2075,2083,Does red light preserve your night vision?,36,20061218,
57674,57677,Is C. elegans always observed with precisely 302 neurons? Are there ever individual viable exceptions?,36,6586368,Mutations that affect neural cell lineages and cell fates during the development of the nematode Caenorhabditis elegans.
92356,92362,Has there even been a clinical study where healthy volunteers consented to be infected with a pathogen?,36,31621832,
92356,92400,Has there even been a clinical study where healthy volunteers consented to be infected with a pathogen?,36,23766744,Julius Wagner-Jauregg and the legacy of malarial therapy for the treatment of general paresis of the insane.
92356,92426,Has there even been a clinical study where healthy volunteers consented to be infected with a pathogen?,36,2029038,Risk assessment and control of waterborne giardiasis.
26413,26414,How many mosquitoes would it take to &quot;drain&quot; enough blood to put a person into shock?,35,23270172,La Crosse virus infection alters blood feeding behavior in Aedes triseriatus and Aedes albopictus (Diptera: Culicidae).
35446,35450,Is there an advantage to antibacterial soap?,35,1353089,Handwashing in a neonatal intensive care nursery: product acceptability and effectiveness of chlorhexidine gluconate 4% and triclosan 1%.
35446,35450,Is there an advantage to antibacterial soap?,35,10760227,Triclosan: a review of effectiveness and safety in health care settings.
35446,35451,Is there an advantage to antibacterial soap?,35,17006819,Use of germicides in the home and the healthcare setting: is there a relationship between germicide use and antibiotic resistance?
35446,35451,Is there an advantage to antibacterial soap?,35,17683018,Consumer antibacterial soaps: effective or just risky?
35446,35451,Is there an advantage to antibacterial soap?,35,14996673,"Effect of antibacterial home cleaning and handwashing products on infectious disease symptoms: a randomized, double-blind trial."
21523,21526,What do you see when your eyes are closed?,34,24618215,
21523,21526,What do you see when your eyes are closed?,34,19076647,Correlation of increase in phosphene threshold with reduction of migraine frequency: observation of levetiracetam-treated subjects.
21523,21526,What do you see when your eyes are closed?,34,7062073,Auditory evoked phosphenes in optic nerve disease.
23793,23797,Ripening bananas artificially: What is the biological theory behind?,34,16655629,
39015,42578,Does this recording sound like the pulses emitted by bats?,34,23966949,Social calls of flying big brown bats (Eptesicus fuscus).
775,778,"How and where, in the human brain, are memories stored?",33,18094707,"Synaptic plasticity, memory and the hippocampus: a neural network approach to causality."
775,778,"How and where, in the human brain, are memories stored?",33,21851992,A neoHebbian framework for episodic memory; role of dopamine-dependent late LTP.
775,778,"How and where, in the human brain, are memories stored?",33,22036561,Molecular mechanisms of fear learning and memory.
775,778,"How and where, in the human brain, are memories stored?",33,22441246,Optogenetic stimulation of a hippocampal engram activates fear memory recall.
11286,14044,Why is ATP the preferred choice for energy carriers?,33,2434996,Why nature chose phosphates.
11286,14044,Why is ATP the preferred choice for energy carriers?,33,23318152,Why nature really chose phosphate.
40579,40636,Is evolution a fact?,33,11170892,Genomic divergences between humans and other hominoids and the effective population size of the common ancestor of humans and chimpanzees.
72388,72390,Biological siblings possible with &lt;9 months age difference?,33,6700896,Multiple gestation: time interval between delivery of the first and second twins.
72388,72398,Biological siblings possible with &lt;9 months age difference?,33,18667283,[Superfetation: case report and review of the literature].
17728,17822,How long does it take for memory to disperse after death?,32,17854286,The mind and brain of short-term memory.
17728,51922,How long does it take for memory to disperse after death?,32,29492327,
17728,51922,How long does it take for memory to disperse after death?,32,28129566,Aging retinal function is improved by near infrared light (670 nm) that is associated with corrected mitochondrial decline.
17728,51922,How long does it take for memory to disperse after death?,32,26949625,Photobiomodulation for the treatment of retinal diseases: a review.
36712,36713,Why do tattoos persist if body cells are regularly renewed?,32,19703227,Tattooing of skin results in transportation and light-induced decomposition of tattoo pigments--a first quantification in vivo using a mouse model.
36712,36713,Why do tattoos persist if body cells are regularly renewed?,32,1585890,"Tattoos and tattooing. Part II: Gross pathology, histopathology, medical complications, and applications."
71312,71332,Can plants suffer from CO2 poisoning?,32,26253981,The optimal atmospheric CO2 concentration for the growth of winter wheat (Triticum aestivum).
5148,5150,Why are not all species hermaphrodites?,31,839809,
17546,73587,Were there any flying dinosaurs?,31,25875499,"Morphological variations within the ontogeny of Deinonychus antirrhopus (Theropoda, Dromaeosauridae)."
44908,44917,Why doesn&#39;t blood remain on a mosquito&#39;s proboscis in quantities that could spread blood-borne diseases?,31,16679183,Occupational HIV infection among health care workers exposed to blood and body fluids in Brazil.
44908,45192,Why doesn&#39;t blood remain on a mosquito&#39;s proboscis in quantities that could spread blood-borne diseases?,31,2826787,
65273,65280,What makes a cancer contagious?,31,28695294,The role of MHC genes in contagious cancer: the story of Tasmanian devils.
65273,65280,What makes a cancer contagious?,31,25867244,The cancer which survived: insights from the genome of an 11000 year-old cancer.
65273,65280,What makes a cancer contagious?,31,28040849,Rejection versus escape: the tumor MHC dilemma.
90962,90969,Can you be immune to a coronavirus?,31,2468325,Virus strain specificity of challenge immunity to coronavirus.
186,331,Is telomere length a reliable measure of health/lifespan?,30,18378481,Investigation of telomere lengths measurement by quantitative real-time PCR to predict age.
186,2766,Is telomere length a reliable measure of health/lifespan?,30,8914489,Cellular proliferative capacity and life span in small and large dogs.
378,382,Has there been any observation of species adapting the evolution process?,30,15869329,Inhibition of mutation and combating the evolution of antibiotic resistance.
378,384,Has there been any observation of species adapting the evolution process?,30,9193894,Life history evolution in guppies (Poecilia reticulata): guppies as a model for studying the evolutionary biology of aging.
378,9698,Has there been any observation of species adapting the evolution process?,30,18059367,Is evolvability evolvable?
1575,1576,Do men have more extreme variations than women?,30,16934145,Sex-specific expression of alternative transcripts in Drosophila.
1575,68395,Do men have more extreme variations than women?,30,17725639,A reappraisal of Bateman's classic study of intrasexual selection.
7669,7674,How can homosexuality evolve despite natural selection?,30,23397798,Homosexuality as a consequence of epigenetically canalized sexual development.
78792,78800,Can a cancerous cell from outside cause cancer in a healthy person?,30,21376230,Hallmarks of cancer: the next generation.
78792,78800,Can a cancerous cell from outside cause cancer in a healthy person?,30,12177614,Transplant tumor registry: donor related malignancies.
78792,78800,Can a cancerous cell from outside cause cancer in a healthy person?,30,29765597,Cancer cell transmission via the placenta.
78792,78804,Can a cancerous cell from outside cause cancer in a healthy person?,30,29502037,Targeting the microenvironment in solid tumors.
78792,78804,Can a cancerous cell from outside cause cancer in a healthy person?,30,27764780,The concept of immune surveillance against tumors. The first theories.
753,807,What are the trajectories of flying insects?,29,11553323,Using artificial evolution and selection to model insect navigation.
753,807,What are the trajectories of flying insects?,29,12242674,Fractal analysis of Daphnia motion for acute toxicity bioassay.
2055,2923,Do trees age on a microscopic level?,29,22759812,Telomere dynamics in mammals.
2055,2923,Do trees age on a microscopic level?,29,22341437,Telomeres and cancer: from crisis to stability to crisis to stability.
2055,2923,Do trees age on a microscopic level?,29,9894917,"Plant cells express telomerase activity upon transfer to callus culture, without extensively changing telomere lengths."
2055,2923,Do trees age on a microscopic level?,29,20966923,Walls around tumours - why plants do not develop cancer.
2055,2923,Do trees age on a microscopic level?,29,20646326,DNA repair and recombination in higher plants: insights from comparative genomics of Arabidopsis and rice.
2875,2876,Can rats pass on memories of a maze to their offspring?,29,5465368,"Interanimal ""memory"" transfer: results from brain and liver homogenates."
3711,3712,Are there any substance that are more dangerous at low dose than at higher dose?,29,12533193,Bifunctional constructs of aspirin and ibuprofen (non-steroidal anti-inflammatory drugs; NSAIDs) that express antibacterial and alkylation activities.
3711,3753,Are there any substance that are more dangerous at low dose than at higher dose?,29,16555795,Experimental evolution of resistance to an antimicrobial peptide.
10809,13456,Extremely rare occurence of Heart cancer?,29,16050255,Cardiac stem cells and myocardial regeneration.
34546,34552,Why does an electrical shock freeze up muscles?,29,19907637,Conduction of electrical current to and through the human body: a review.
43590,43592,Is it possible that by mutation a human could see infrared or other &#39;colours&#39;?,29,23224553,Tuning the electronic absorption of protein-embedded all-trans-retinal.
43590,43599,Is it possible that by mutation a human could see infrared or other &#39;colours&#39;?,29,25453064,Human infrared vision is triggered by two-photon chromophore isomerization.
88954,88955,What is the human energy consumption by organ?,29,20962155,Specific metabolic rates of major organs and tissues across adulthood: evaluation by mechanistic model of resting energy expenditure.
4,105,How long does antibiotic-dosed LB maintain good selection?,28,5485725,Stability of antibiotics and chemotherapeutics in agar plates.
305,311,Smallest viable reproducing population,28,11813132,Extensive linkage disequilibrium in small human populations in Eurasia.
42745,42746,Can the dead be brought back to life by viruses?,28,22046474,Ophiocordyceps unilateralis: A keystone species for unraveling ecosystem functioning and biodiversity of fungi in tropical forests?
57128,57136,What are the advantages of forgetting?,28,23898309,"What is working memory capacity, and how can we measure it?"
57128,57136,What are the advantages of forgetting?,28,26183014,The role of visual deprivation and experience on the performance of sensory substitution devices.
77246,77250,Do oysters feel pain?,28,29681988,"Nervous system development in the Pacific oyster, <i>Crassostrea gigas</i> (Mollusca: Bivalvia)."
85026,85027,Can humans ever directly see a few photons at a time? Can a human see a single photon?,28,9295376,Gain of rod to horizontal cell synaptic transfer: relation to glutamate release and a dihydropyridine-sensitive calcium current.
85026,85027,Can humans ever directly see a few photons at a time? Can a human see a single photon?,28,20203204,Control of rhodopsin's active lifetime by arrestin-1 expression in mammalian rods.
85026,85027,Can humans ever directly see a few photons at a time? Can a human see a single photon?,28,8741728,The kinetics of inactivation of the rod phototransduction cascade with constant Ca2+i.
85026,85027,Can humans ever directly see a few photons at a time? Can a human see a single photon?,28,28193818,Processing of single-photon responses in the mammalian On and Off retinal pathways at the sensitivity limit of vision.
14919,21174,Why can white hairs get dark again?,27,15820674,Melanocyte stem cell maintenance and hair graying.
14919,21174,Why can white hairs get dark again?,27,23018363,Melanocyte stem cells: biology and current aspects.
14919,21174,Why can white hairs get dark again?,27,20805969,Oxidative stress in ageing of hair.
21973,21974,What limits our healing speed?,27,20139336,Factors affecting wound healing.
21973,21974,What limits our healing speed?,27,19668939,Cellular aspects of wound healing.
67554,67557,Where does my extra blood volume go after giving birth?,27,18580296,Sex hormone effects on body fluid regulation.
89218,89223,Is it possible to kill parasitic worms by intoxicating oneself?,27,20582163,Alcoholism and Strongyloides stercoralis: daily ethanol ingestion has a positive correlation with the frequency of Strongyloides larvae in the stools.
89218,89223,Is it possible to kill parasitic worms by intoxicating oneself?,27,26898927,Ethanol concentrations in the human gastrointestinal tract after intake of alcoholic beverages.
89218,89223,Is it possible to kill parasitic worms by intoxicating oneself?,27,18808700,Efficacy of common laboratory disinfectants and heat on killing trypanosomatid parasites.
89218,89223,Is it possible to kill parasitic worms by intoxicating oneself?,27,31363503,
89218,89247,Is it possible to kill parasitic worms by intoxicating oneself?,27,10230827,Alcohol consumption and Helicobacter pylori infection: results from the German National Health and Nutrition Survey.
89218,89249,Is it possible to kill parasitic worms by intoxicating oneself?,27,22342747,Alcohol consumption as self-medication against blood-borne parasites in the fruit fly.
8282,8804,Why is saltatory conduction in myelinated axons faster than continuous conduction in unmyelinated axons?,26,6245357,Determinants of conduction velocity in myelinated nerve fibers.
42891,42897,Did the Zika virus mutate?,26,26403318,
47976,48694,What&#39;s the mechanism for being mentally tired?,26,24926625,Neural mechanisms of mental fatigue.
88338,88356,"Does animal blood, esp. human, really have similar salinity as ocean water, and does that prove anything about evolution?",26,25002696,"Raissa L. Berg's contributions to the study of phenotypic integration, with a professional biographical sketch."
89709,89712,Is the Common Cold an Immune Overreaction?,26,11108309,Respiratory viral infections in primary immune deficiencies: significance and relevance to clinical outcome in a single BMT unit.
89709,89712,Is the Common Cold an Immune Overreaction?,26,22542099,Pathogenesis of rhinovirus infection.
107,161,Can an adult without genetic lactase persistence still develop a tolerance for dairy foods?,25,8694025,Colonic adaptation to daily lactose feeding in lactose maldigesters reduces lactose intolerance.
371,372,How is temperature sensed?,25,15362149,Thermosensation and pain.
371,372,How is temperature sensed?,25,21591901,Sensing hot and cold with TRP channels.
371,372,How is temperature sensed?,25,16537823,Thermal gating of TRP ion channels: food for thought?
371,377,How is temperature sensed?,25,21335241,The coding of temperature in the Drosophila brain.
1164,1201,ATP cost for gene expression,25,15758206,Energy constraints on the evolution of gene expression.
1382,1385,Which organism has the smallest genome length?,25,14566062,The genome of Nanoarchaeum equitans: insights into early archaeal evolution and derived parasitism.
1382,1392,Which organism has the smallest genome length?,25,15496914,Genome duplication in the teleost fish Tetraodon nigroviridis reveals the early vertebrate proto-karyotype.
1382,1392,Which organism has the smallest genome length?,25,12745370,Nucleotide sequences of goose circovirus isolated in Taiwan.
1382,52519,Which organism has the smallest genome length?,25,16109880,Genome streamlining in a cosmopolitan oceanic bacterium.
2602,20903,Pipetting damage to cells,25,17492777,Pipetting causes shear stress and elevation of phosphorylated stress-activated protein kinase/jun kinase in preimplantation embryos.
2602,23394,Pipetting damage to cells,25,1367978,"Determination of a ""critical shear stress level"" applied to adherent mammalian cells."
2602,23394,Pipetting damage to cells,25,16684926,Podocytes are sensitive to fluid shear stress in vitro.
2602,23394,Pipetting damage to cells,25,5016112,Red blood cell damage by shear stress.
2602,23394,Pipetting damage to cells,25,15296446,Quantitative studies of cell-bubble interactions and cell damage at different pluronic F-68 and cell concentrations.
2874,6914,Why are there exactly four nucleobases in DNA?,25,14631359,Why are there four letters in the genetic alphabet?
